datetime_utc,wind_speed_mph,wind_dir_deg,wind_gust_mph
2017-12-04T00:22:00Z,1.01,25.0,11.01
2017-12-04T01:22:00Z,0.0,,4.99
2017-12-04T02:22:00Z,1.01,149.0,4.0
2017-12-04T03:22:00Z,0.0,,4.99
2017-12-04T04:22:00Z,1.01,166.0,4.99
2017-12-04T05:22:00Z,0.0,,3.0
2017-12-04T06:22:00Z,1.01,14.0,3.0
2017-12-04T07:22:00Z,0.0,,3.0
2017-12-04T08:22:00Z,0.0,,2.01
2017-12-04T09:22:00Z,0.0,,1.01
2017-12-04T10:22:00Z,1.01,150.0,3.0
2017-12-04T11:22:00Z,0.0,,4.0
2017-12-04T12:22:00Z,1.01,24.0,5.99
2017-12-04T13:22:00Z,5.99,41.0,17.0
2017-12-04T14:22:00Z,5.99,49.0,15.99
2017-12-04T15:22:00Z,8.01,55.0,15.99
2017-12-04T16:22:00Z,12.01,43.0,24.0
2017-12-04T17:22:00Z,13.0,24.0,21.0
2017-12-04T18:22:00Z,11.01,25.0,24.99
2017-12-04T19:22:00Z,11.01,31.0,23.0
2017-12-04T20:22:00Z,13.0,30.0,25.99
2017-12-04T21:22:00Z,11.01,34.0,24.0
2017-12-04T22:22:00Z,12.01,25.0,24.0
2017-12-04T23:22:00Z,13.0,47.0,27.0
2017-12-05T00:22:00Z,10.0,49.0,24.0
2017-12-05T01:22:00Z,12.01,33.0,24.99
2017-12-05T02:22:00Z,13.0,30.0,28.01
2017-12-05T03:22:00Z,12.01,45.0,32.01
2017-12-05T04:22:00Z,14.0,36.0,28.99
2017-12-05T05:22:00Z,14.0,33.0,31.0
2017-12-05T06:22:00Z,13.0,43.0,28.01
2017-12-05T07:22:00Z,12.01,42.0,31.0
2017-12-05T08:22:00Z,12.01,41.0,27.0
2017-12-05T09:22:00Z,11.01,34.0,28.99
2017-12-05T10:22:00Z,11.01,54.0,27.0
2017-12-05T11:22:00Z,8.01,19.0,23.0
2017-12-05T12:22:00Z,5.99,26.0,15.99
2017-12-05T13:22:00Z,3.0,66.0,11.01
2017-12-05T14:22:00Z,8.01,21.0,15.99
2017-12-05T15:22:00Z,8.01,25.0,18.99
2017-12-05T16:22:00Z,12.01,34.0,24.0
2017-12-05T17:22:00Z,10.0,40.0,23.0
2017-12-05T18:22:00Z,12.01,24.0,27.0
2017-12-05T19:22:00Z,14.0,32.0,24.0
2017-12-05T20:22:00Z,12.01,29.0,24.0
2017-12-05T21:22:00Z,13.0,37.0,28.99
2017-12-05T22:22:00Z,14.0,43.0,30.0
2017-12-05T23:22:00Z,14.0,37.0,31.0
2017-12-06T00:22:00Z,12.01,22.0,28.99
2017-12-06T01:22:00Z,11.01,26.0,25.99
2017-12-06T02:22:00Z,8.99,26.0,21.0
2017-12-06T03:22:00Z,11.01,21.0,18.99
2017-12-06T04:22:00Z,8.01,21.0,18.01
2017-12-06T05:22:00Z,8.99,19.0,21.0
2017-12-06T06:22:00Z,8.99,18.0,20.0
2017-12-06T07:22:00Z,10.0,19.0,21.0
2017-12-06T08:22:00Z,7.0,6.0,20.0
2017-12-06T09:22:00Z,0.0,,12.01
2017-12-06T10:22:00Z,0.0,,3.0
2017-12-06T11:22:00Z,0.0,,2.01
2017-12-06T12:22:00Z,0.0,,3.0
2017-12-06T13:22:00Z,0.0,,3.0
2017-12-06T14:22:00Z,0.0,,3.0
2017-12-06T15:22:00Z,0.0,,2.01
2017-12-06T16:22:00Z,8.99,26.0,14.99
2017-12-06T17:22:00Z,10.0,25.0,18.01
2017-12-06T18:22:00Z,11.01,31.0,21.0
2017-12-06T19:22:00Z,11.01,34.0,22.01
2017-12-06T20:22:00Z,10.0,29.0,21.0
2017-12-06T21:22:00Z,7.0,21.0,18.01
2017-12-06T22:22:00Z,5.99,14.0,14.0
2017-12-06T23:22:00Z,5.99,3.0,17.0
2017-12-07T00:22:00Z,5.99,355.0,15.99
2017-12-07T01:22:00Z,10.0,25.0,23.0
2017-12-07T02:22:00Z,13.0,38.0,24.99
2017-12-07T03:22:00Z,10.0,20.0,24.0
2017-12-07T04:22:00Z,11.01,29.0,28.01
2017-12-07T05:22:00Z,11.01,47.0,27.0
2017-12-07T06:22:00Z,13.0,40.0,24.99
2017-12-07T07:22:00Z,13.0,32.0,28.01
2017-12-07T08:22:00Z,14.99,36.0,28.01
2017-12-07T09:22:00Z,10.0,30.0,25.99
2017-12-07T10:22:00Z,8.99,29.0,23.0
2017-12-07T11:22:00Z,10.0,25.0,22.01
2017-12-07T12:22:00Z,7.0,26.0,17.0
2017-12-07T13:22:00Z,4.0,17.0,14.99
2017-12-07T14:22:00Z,7.0,24.0,14.0
2017-12-07T15:22:00Z,10.0,22.0,17.0
2017-12-07T16:22:00Z,11.01,32.0,22.01
2017-12-07T17:22:00Z,12.01,29.0,21.0
2017-12-07T18:22:00Z,11.01,29.0,21.0
2017-12-07T19:22:00Z,10.0,30.0,23.0
2017-12-07T20:22:00Z,11.01,41.0,23.0
2017-12-07T21:22:00Z,8.01,34.0,24.0
2017-12-07T22:22:00Z,8.01,37.0,18.01
2017-12-07T23:22:00Z,8.99,30.0,22.01
2017-12-08T00:22:00Z,8.01,10.0,18.99
2017-12-08T01:22:00Z,5.99,26.0,15.99
2017-12-08T02:22:00Z,5.99,28.0,13.0
2017-12-08T03:22:00Z,7.0,27.0,15.99
2017-12-08T04:22:00Z,5.99,36.0,14.99
2017-12-08T05:22:00Z,2.01,19.0,13.0
2017-12-08T06:22:00Z,0.0,,4.99
2017-12-08T07:22:00Z,0.0,,3.0
2017-12-08T08:22:00Z,0.0,,1.01
2017-12-08T09:22:00Z,0.0,,2.01
2017-12-08T10:22:00Z,0.0,,1.01
2017-12-08T11:22:00Z,0.0,,0.0
2017-12-08T12:22:00Z,0.0,,2.01
2017-12-08T13:22:00Z,0.0,,2.01
2017-12-08T14:22:00Z,0.0,,0.0
2017-12-08T15:22:00Z,1.01,194.0,3.0
2017-12-08T16:22:00Z,2.01,284.0,7.0
2017-12-08T17:22:00Z,7.0,21.0,14.0
2017-12-08T18:22:00Z,5.99,15.0,13.0
2017-12-08T19:22:00Z,4.99,23.0,12.01
2017-12-08T20:22:00Z,5.99,15.0,14.0
2017-12-08T21:22:00Z,7.0,41.0,14.0
2017-12-08T22:22:00Z,4.99,15.0,12.01
2017-12-08T23:22:00Z,5.99,16.0,13.0
